环片号码,管理行程,记录日期,记录时刻,土仓内土压(左),后筒体俯仰角,回转角,螺旋机回转速度,千斤顶总推力,推力指数,刀盘回转速度,刀盘马达总扭距,扭矩指数,螺旋机扭距,推进速度,能耗,贯入度,地表变形
5,551,2014-10-12,10:02:06,0.01,-0.13,-0.11,0.8,2612,486.4603121,0.36,1290,5.572942946,2.04,43,2380.062084,0.119444444,0.09
6,19,2014-10-13,9:05:51,0.06,-0.24,-0.16,0,0,0,0,0,0,1.78,0,#DIV/0!,#DIV/0!,-7.934
7,1499,2014-10-13,14:49:56,0.12,-0.15,-0.04,0.2,18599,3463.887958,1.1,2794,12.0703896,2,13,50796.7212,0.011818182,-15.958
8,1570,2014-10-14,4:42:09,0.13,-0.17,-0.31,0.8,21115,3932.469177,1.1,3797,16.40346075,2.18,9,99192.57264,0.008181818,-23.982
9,1487,2014-10-14,10:25:42,0.13,-0.12,0.11,0.3,18288,3405.967147,1.1,3780,16.33001886,2.04,24,37382.27502,0.021818182,-32.006
10,1519,2014-10-14,18:03:33,0.16,-0.12,0.24,0.5,19538,3638.767833,1.1,4105,17.73405488,1.97,13,74368.38594,0.011818182,-40.03
11,1516,2014-10-15,2:48:41,0.13,-0.14,0.05,0.4,19350,3603.754609,1.1,4239,18.31294973,1.97,10,99602.3746,0.009090909,-39.728
12,1442,2014-10-15,13:41:37,0.15,-0.19,0.21,0.5,17266,3215.629307,0.68,3420,14.77477897,2.11,14,35833.51521,0.020588235,-39.426
13,61,2014-10-16,17:50:28,0.15,-0.25,0.14,0.2,19855,3697.806086,0.7,3336,14.41188966,8.63,8,62613.21058,0.011428571,-39.124
14,1503,2014-10-16,21:47:07,0.19,-0.23,-0.19,1.4,22177,4130.256639,0.7,3586,15.49191737,2.15,13,41724.29991,0.018571429,-38.822
15,1361,2014-10-17,22:06:38,0.17,-0.2,-0.19,0.7,20950,3901.739487,0.7,3418,14.76613875,1.97,12,43017.81888,0.017142857,-38.52
16,221,2014-10-18,1:49:03,0.19,-0.16,0.03,1.9,22476,4185.942563,0.72,3941,17.0255567,27.88,17,36179.04107,0.023611111,-36.92
17,240,2014-10-19,8:42:14,0.19,-0.12,0.38,1.9,22631,4214.809848,0.71,3941,17.0255567,15.58,17,35692.34014,0.023943662,-35.32
18,248,2014-10-19,9:58:18,0.19,-0.14,0.38,1.9,22631,4214.809848,0.71,3941,17.0255567,2,17,35692.34014,0.023943662,-33.72
19,1496,2014-10-19,10:54:59,0.2,-0.18,-0.3,0.3,21932,4084.627705,0.7,3418,14.76613875,8.04,29,18248.6403,0.041428571,-32.12
20,1604,2014-10-19,14:20:25,0.24,-0.14,-0.54,2.8,22012,4099.526949,0.7,3784,16.34729931,2.18,29,20126.05472,0.041428571,-30.52
21,1508,2014-10-19,17:20:37,0.25,-0.14,0.02,2.3,21213,3950.720751,0.7,3480,15.03398562,2,33,16381.29806,0.047142857,-29.828
22,1506,2014-10-19,19:16:51,0.22,-0.02,-0.59,2,20974,3906.20926,0.7,3493,15.09014706,2.22,31,17446.12727,0.044285714,-29.136
23,1395,2014-10-19,22:19:30,0.23,-0.05,0.02,0.9,20412,3801.542072,0.71,3153,13.62130939,2.26,32,15534.9141,0.045070423,-28.444
24,1663,2014-10-20,2:07:08,0.2,-0.03,-0.08,0.7,21086,3927.068201,1.02,2539,10.96876135,2.29,20,28190.56824,0.019607843,-27.752
25,1522,2014-10-20,4:35:12,0.22,0,0.53,3.9,20836,3880.508064,0.7,3162,13.66019038,2.22,29,16900.33259,0.041428571,-27.06
26,1555,2014-10-20,8:43:07,0.19,0.08,0.33,1.3,20127,3748.463515,0.7,3122,13.48738595,2.11,27,17856.03604,0.038571429,-26.814
27,1513,2014-10-20,13:42:03,0.22,-0.14,-0.06,1.5,19779,3683.651805,0.7,3879,16.75770983,2.07,21,28106.29764,0.03,-26.568
28,1489,2014-10-20,16:49:00,0.23,-0.12,0.4,0.8,21772,4054.829217,0.7,4093,17.68221355,2.26,21,29687.36269,0.03,-26.322
29,1443,2014-10-21,5:06:28,0.17,0,0.11,0.1,22504,4191.157299,0.81,2640,11.40509254,2.33,10,46138.08942,0.012345679,-26.076
30,1546,2014-10-21,11:35:36,0.21,-0.15,0.15,0.8,21621,4026.706895,0.7,4281,18.49439438,2.22,15,43124.66645,0.021428571,-25.83
31,1532,2014-10-21,17:50:55,0.22,-0.11,-0.12,0.8,23098,4301.784184,0.7,4086,17.65197277,2.15,13,47468.60128,0.018571429,-25.51
32,1624,2014-10-23,23:01:55,0.19,-0.02,-0.23,0.5,22933,4271.054494,0.7,3050,13.17633797,2.15,17,27425.22189,0.024285714,-25.19
33,1508,2014-10-24,8:21:51,0.19,0.09,0.32,0.6,23154,4312.213655,0.7,3575,15.44439615,2.22,10,53886.39512,0.014285714,-24.87
34,1489,2014-10-24,19:10:23,0.21,0.14,-0.17,0.1,19676,3664.469028,0.93,4019,17.36252535,2.04,14,57318.28446,0.015053763,-24.55
35,1475,2014-10-25,0:14:29,0.21,0.19,0.26,0.1,20917,3895.593549,1.1,4140,17.88525876,2.18,14,69733.67288,0.012727273,-24.23
36,1579,2014-10-25,17:12:14,0.18,-0.11,-0.34,0.1,24004,4470.518121,0.9,3370,14.55877343,2.15,10,65172.53085,0.011111111,-24.642
37,1518,2014-10-25,21:34:27,0.19,-0.31,0.18,0.1,22989,4281.483965,0.7,3791,16.37754008,2.18,13,44094.14169,0.018571429,-25.054
38,1519,2014-10-26,0:45:57,0.19,-0.4,-0.44,1.4,20878,3888.330167,0.7,3712,16.03625133,2.15,23,24678.97491,0.032857143,-25.466
39,1556,2014-10-26,4:13:15,0.23,-0.38,-0.05,1.6,21669,4035.646441,0.7,3561,15.3839146,2.11,26,21076.83999,0.037142857,-25.878
40,1512,2014-10-26,7:54:44,0.22,-0.15,-0.12,1.7,19453,3622.937386,0.7,3487,15.0642264,2.15,21,25322.48508,0.03,-26.29
41,1513,2014-10-26,12:45:45,0.22,-0.09,-0.33,4.5,20495,3817.000037,0.7,3551,15.34071349,2.11,35,15763.25161,0.05,-25.51
42,1511,2014-10-26,14:45:15,0.26,-0.07,0.47,4.5,20975,3906.3955,0.7,3710,16.02761111,2.11,35,16454.27923,0.05,-24.73
43,1558,2014-10-26,17:05:58,0.18,-0.11,0.03,3.3,20970,3905.464298,0.7,3784,16.34729931,2.11,38,15500.30985,0.054285714,-23.95
44,1524,2014-10-26,20:16:20,0.2,-0.09,-0.06,3.1,20119,3746.973591,0.7,3645,15.7468039,2.07,37,15313.29179,0.052857143,-23.17
45,1555,2014-10-26,22:48:51,0.23,-0.14,0.33,0.7,16981,3162.550751,0.7,3533,15.26295149,6.41,35,15568.11868,0.05,-22.39
46,1509,2014-10-27,1:33:43,0.22,-0.27,-0.18,0.4,16865,3140.946847,0.7,3418,14.76613875,2,36,14673.17864,0.051428571,-22.708
47,1558,2014-10-27,15:00:10,0.22,-0.22,0.38,1.7,19182,3572.466197,0.7,3420,14.77477897,2.11,38,14017.00996,0.054285714,-23.026
48,1507,2014-10-27,17:23:03,0.21,-0.19,0.87,0.1,17485,3256.415987,0.7,3525,15.22839061,2.11,35,15551.19644,0.05,-23.344
49,1501,2014-10-28,7:25:10,0.19,-0.22,-0.15,0.2,20030,3730.398182,1.05,3944,17.03851704,1.82,44,20649.06201,0.041904762,-23.662
50,1554,2014-10-28,13:11:04,0.21,-0.14,-0.37,1.9,20329,3786.084106,1.1,3418,14.76613875,2.07,34,24152.92573,0.030909091,-23.98
51,1514,2014-10-28,15:26:16,0.22,-0.11,0.07,0.7,19596,3649.569784,1.1,3455,14.92598285,2.15,35,23704.46295,0.031818182,-23.786
52,1517,2014-10-28,18:17:29,0.2,-0.05,-0.59,1.3,18377,3422.542556,1.1,3952,17.07307792,2.07,33,28575.28615,0.03,-23.592
53,1439,2014-10-28,20:53:18,0.25,-0.03,0.22,4.5,19317,3597.608671,1.1,4203,18.15742574,2.07,37,27168.46003,0.033636364,-23.398
54,1611,2014-10-29,0:09:44,0.2,-0.06,-0.55,1.6,20287,3778.262003,1.1,4297,18.56351615,2.11,34,30186.20935,0.030909091,-23.204
55,1544,2014-10-29,2:31:43,0.22,-0.07,0.56,0.9,19644,3658.509331,1.1,4489,19.39297743,2.07,34,31482.64245,0.030909091,-23.01
