管片号码,推力指数,扭矩指数,推进速度,刀盘旋转速度,能耗,地表变形
1,1773,12,22,0.7,10254,13
2,1730,6,7,0.7,48111,12
3,1028,9,7,0.7,42102,10
4,1226,8,11,0.7,35664,9
5,1627,11,14,0.7,26052,7
6,1456,10,8,0.7,59449,6
7,1439,14,28,0.9,14907,4
8,1829,9,24,0.9,19760,3
9,1759,10,24,0.9,24831,1
10,1647,13,31,0.9,16885,0
11,1568,11,43,0.9,10763,2
12,1380,10,50,0.9,10122,3
13,2028,11,24,0.9,19891,4
14,1445,10,32,0.9,12521,6
15,1342,9,39,0.9,13379,7
16,1546,11,25,0.9,17584,7
17,1664,9,27,0.9,21372,8
18,1593,12,41,0.9,12468,8
19,2041,11,36,0.9,13321,8
20,1974,10,30,0.9,19327,8
21,1887,12,31,0.9,17577,8
22,1898,12,39,0.9,12760,8
23,1658,11,28,0.9,25230,7
24,1887,15,44,0.9,11631,7
25,1963,11,40,0.9,9007,6
26,2126,8,29,0.9,17113,7
27,1834,11,43,0.9,10352,8
28,1601,9,42,0.9,10244,8
29,1652,9,40,0.9,12081,9
30,1585,10,38,0.9,14996,10
31,1465,12,29,0.9,17038,10
32,1633,11,35,0.9,12246,10
33,1755,9,38,0.9,11904,10
34,1476,10,31,0.9,11204,10
35,1658,7,36,0.9,13333,10
36,1957,10,41,0.9,7210,9
37,1750,6,25,0.9,18779,9
38,1716,10,43,0.9,10942,9
39,1686,10,44,0.9,4149,8
40,1784,4,28,0.9,13960,8
41,1801,8,35,0.9,11067,7
42,1527,8,30,0.9,15556,7
43,1793,10,46,0.9,9900,6
44,1548,10,32,0.9,16038,6
45,2072,11,37,0.9,11435,5
46,1534,9,46,0.9,8094,5
47,0,8,33,0.9,14149,5
48,1664,10,39,0.9,12294,5
49,1741,10,42,0.9,10381,5
50,1716,9,38,0.9,12081,5
51,1713,10,37,0.9,8557,4
52,1708,7,34,0.9,11097,4
53,1549,8,42,0.9,10192,3
54,1400,9,44,0.9,9115,3
55,1636,8,37,0.9,14041,2
56,1891,11,49,0.9,7693,1
57,1445,8,9,0.9,46515,1
58,1389,9,39,0.9,6613,0
59,1289,5,44,0.9,9558,1
60,1604,9,47,0.9,9528,2
61,1744,9,35,0.9,11297,2
62,1266,8,43,0.9,9781,3
63,1644,9,47,0.9,10561,3
64,1697,11,45,0.9,10858,3
65,1994,10,43,0.9,10375,4
66,1713,9,48,0.9,8692,4
67,1583,9,45,0.9,8156,4
68,1559,8,47,0.9,11295,4
69,1641,11,54,0.9,9464,5
70,1921,11,55,0.9,7816,5
71,1639,9,53,0.9,8319,5
72,1814,9,59,0.9,8265,6
73,1829,10,46,0.9,11864,7
74,1778,12,49,0.9,11173,7
75,1843,12,42,0.9,7514,8
76,1384,7,39,0.9,12560,8
77,1798,10,42,0.9,9648,8
78,1554,9,56,0.9,7028,9
79,1862,8,40,0.9,9173,9
80,1742,8,53,0.9,7593,9
81,1879,8,44,0.9,10506,10
82,1837,10,42,0.9,9353,11
83,1747,8,43,0.9,9190,12
84,1487,8,51,0.9,7806,13
85,1538,8,52,0.9,8633,14
86,1680,9,45,0.9,8025,13
87,1566,8,44,0.9,9479,11
88,1711,9,37,0.9,7997,10
89,1559,6,45,0.9,10286,8
90,1862,10,45,0.9,8528,6
91,1876,8,44,0.9,8272,6
92,1919,8,39,0.9,9002,6
93,1793,7,39,0.9,8793,5
94,0,8,37,0.9,14187,5
95,2045,11,34,0.9,11922,4
96,1936,9,45,0.9,8979,4
97,1929,8,39,0.9,11586,4
98,2008,9,48,0.9,9631,4
99,2187,10,44,0.9,10534,3
100,1974,10,57,0.9,3765,4
101,1605,4,11,0.9,39484,5
102,1625,9,46,0.9,11383,5
103,1958,11,52,0.9,7548,6
104,1904,8,50,0.9,9896,6
105,1891,10,58,0.9,7901,7
106,1890,9,47,0.9,9546,7
107,1834,9,56,0.9,7925,7
108,1969,9,47,0.9,9880,8
109,1938,10,51,0.9,8626,8
110,1789,9,55,0.9,7770,8
111,1820,9,49,0.9,11093,8
112,1849,11,58,0.9,7317,9
113,1916,9,47,0.9,10193,9
114,1940,10,54,0.9,8377,9
115,1930,9,52,0.9,6019,10
116,1798,6,49,0.9,8547,10
117,1709,9,48,0.9,8993,11
118,2061,9,44,0.9,9413,11
119,1994,9,43,0.9,9518,12
