[28]総推力32bit,[22]刀盘扭矩,地表沉降
16795.0,3026.52,-6.370000000000001
16737.0,3026.52,-6.17
15669.0,3386.82,-5.969999999999999
16526.0,3314.76,-5.5920000000000005
17323.0,3170.64,-5.213999999999999
18089.0,3242.7,-4.836
18290.0,3098.58,-4.458
18376.0,3242.7,-4.08
18212.0,3314.76,-4.346
17436.0,3314.76,-4.612
16932.0,3242.7,-4.878
19421.0,3098.58,-5.144
18061.0,3170.64,-5.41
18076.0,3386.82,-6.693999999999999
18746.0,3242.7,-7.977999999999999
16289.0,3098.58,-9.262
17351.0,3098.58,-10.546
18936.0,2882.4,-11.83
18744.0,3242.7,-11.995999999999999
19730.0,3458.88,-12.162
19319.0,3603.0,-12.328
20380.0,3675.06,-12.494000000000002
21367.760000000006,3098.58,-12.66
19322.0,3170.64,-11.505999999999998
18199.0,3314.76,-10.352
19085.0,3314.76,-9.198
19085.0,3170.64,-8.044
20945.0,3530.94,-6.89
18525.0,3530.94,-6.1419999999999995
19559.0,3458.88,-5.394
16496.0,3314.76,-4.646000000000001
18398.0,3386.82,-3.8979999999999997
19211.0,3386.82,-3.1500000000000004
11253.6,1297.08,-4.5539999999999985
17868.0,3530.94,-5.957999999999998
16804.0,3170.64,-7.362
21089.0,2810.34,-8.766
17524.0,3026.52,-10.17
16957.0,3170.64,-11.492
18111.0,3314.76,-12.814
17093.0,3386.82,-14.136
15861.0,3530.94,-15.458
16747.0,3386.82,-16.78
18805.0,3891.24,-16.344
19102.0,3242.7,-15.908
18660.0,3314.76,-15.472000000000001
18564.0,3458.88,-15.036
19015.0,3098.58,-14.6
20605.0,3170.64,-14.33
18551.0,3530.94,-14.06
18150.0,3386.82,-13.79
19813.0,3314.76,-13.52
19783.0,3314.76,-13.25
18756.0,3458.88,-12.975999999999999
21242.0,3458.88,-12.702
18264.0,3458.88,-12.427999999999999
17640.0,3098.58,-12.154000000000002
16174.0,3026.52,-11.88
16761.0,3530.94,-10.502
16961.0,3314.76,-9.124
18761.0,3603.0,-7.746
15981.0,3026.52,-6.3679999999999986
15232.0,2233.86,-4.99
14904.0,2017.68,-6.01
15545.0,2233.86,-7.03
15581.0,2522.1,-8.05
14916.0,2810.34,-9.07
15956.0,2882.4,-10.09
15429.0,2666.22,-10.37
15582.0,2233.86,-10.65
15514.0,2954.46,-10.93
15058.0,2233.86,-11.21
15062.0,2233.86,-11.49
14536.0,2666.22,-7.94
14029.0,2522.1,-4.390000000000001
14311.0,1873.56,-0.8400000000000016
11253.6,1225.02,1.8922400000000188
15724.0,2954.46,1.8922400000000188
15992.0,3170.64,1.8922400000000188
15294.0,3386.82,1.8922400000000188
15646.0,2377.98,1.4420000000000002
11253.6,1297.08,-0.16400000000000148
16394.0,3458.88,-1.7699999999999996
15891.0,3314.76,-2.8420000000000005
18480.0,3098.58,-3.9139999999999997
16884.0,3170.64,-4.986000000000001
15638.0,3026.52,-7.13
15746.0,2522.1,-5.228
20637.0,3314.76,-3.3260000000000005
16897.0,3458.88,-1.4239999999999995
17370.0,3386.82,0.47799999999999976
19176.0,3098.58,1.8922400000000188
16896.0,2666.22,-1.0200000000000014
18858.0,2305.92,-4.42
19501.0,3242.7,-7.82
17561.0,3458.88,-11.22
19579.0,2954.46,-14.62
20119.0,3603.0,-16.402
20001.0,3242.7,-18.184
19492.0,3458.88,-19.965999999999998
16653.0,3891.24,-21.748
18926.0,3314.76,-23.53
19405.0,2882.4,-23.214000000000002
17790.0,3458.88,-22.898000000000003
16130.0,3603.0,-22.581999999999997
19512.0,3314.76,-21.715999999999998
18136.0,3098.58,-21.482
17925.0,2954.46,-21.248
20703.0,3170.64,-21.014
17967.0,3098.58,-21.296999999999997
19113.0,3242.7,-21.814
17278.0,3530.94,-22.331
16101.0,3314.76,-22.848000000000003
18109.0,3530.94,-23.365
18047.0,3530.94,-23.881999999999998
19178.0,3242.7,-24.399
18200.0,3242.7,-24.916
18577.0,3242.7,-25.433000000000003
18997.0,3314.76,-25.95
20796.0,3386.82,-26.142
20869.0,3530.94,-26.334
20667.0,3603.0,-26.526
20276.0,3891.24,-26.718000000000004
19996.0,3891.24,-26.91
21211.0,3891.24,-27.101999999999997
19605.0,3603.0,-27.294000000000004
21048.0,3891.24,-27.486
18169.0,3458.88,-27.678
18059.0,3098.58,-27.870000000000005
18221.0,3386.82,-28.061999999999998
17605.0,2882.4,-28.254
19227.0,3098.58,-28.445999999999998
19913.0,3026.52,-28.638
20504.0,2954.46,-28.83
16043.0,3026.52,-29.022
18013.0,2882.4,-29.214000000000002
21367.760000000006,3314.76,-29.406
18583.0,2954.46,-29.598000000000003
18602.0,3026.52,-29.79
18172.0,3026.52,-29.982
16102.0,3242.7,-30.174
16654.0,3098.58,-30.366
19320.0,3675.06,-30.558000000000007
19590.0,3386.82,-30.75
18880.0,3386.82,-30.4775
18278.0,3242.7,-30.205
17523.0,3170.64,-29.9325
19385.0,3386.82,-29.66
16834.0,3314.76,-29.3875
17786.0,3026.52,-29.115
17531.0,3170.64,-28.8425
19956.0,3170.64,-28.57
16310.0,2954.46,-28.2975
16834.0,3170.64,-28.025
17592.0,3098.58,-27.7525
18381.0,3170.64,-27.48
16595.0,2738.28,-26.935
18461.0,2450.04,-26.6625
16247.0,2594.16,-26.39
15487.0,2377.98,-26.1175
16418.0,2450.04,-25.845
17697.0,2666.22,-25.5725
14780.0,2738.28,-25.3
16885.0,2666.22,-25.0275
20235.0,2954.46,-24.755
19175.0,2954.46,-24.4825
19278.0,2666.22,-24.21
19649.0,3098.58,-23.9375
18739.0,2882.4,-23.665
17557.0,3026.52,-23.3925
16754.0,2954.46,-23.12
16993.0,3026.52,-22.8475
