[28]総推力32bit,[22]刀盘扭矩,地表沉降
12632.0,1873.56,-10.238
12968.0,1729.44,-17.884
14197.0,2089.74,-25.53
14980.0,1945.62,-33.176
18992.0,2233.86,-40.821999999999996
17676.0,2450.04,-48.468
16679.0,2161.8,-48.77120000000001
15885.0,1873.56,-48.77120000000001
16706.0,1945.62,-48.77120000000001
14727.0,1585.32,-48.77120000000001
15212.0,2305.92,-48.77120000000001
12310.0,2377.98,-48.77120000000001
13336.0,2305.92,-46.67
15176.0,1945.62,-44.482
16034.0,1945.62,-42.294
16375.0,2017.68,-40.106
16407.0,2233.86,-37.918
17089.0,2233.86,-35.73
17347.0,2305.92,-35.611999999999995
17010.0,2377.98,-35.494
17102.0,2089.74,-35.376
14856.0,1801.5,-35.258
14390.0,2161.8,-35.14
15067.0,2161.8,-34.934
15865.0,2377.98,-34.728
15866.0,2161.8,-34.522
17701.0,2377.98,-34.316
18958.0,2305.92,-34.11
17715.0,2450.04,-33.26
16952.0,2377.98,-32.41
17348.0,2666.22,-31.56
19161.0,2305.92,-30.71
18013.0,2810.34,-29.86
15444.0,2738.28,-29.961999999999996
16938.0,2738.28,-30.064
16302.0,2810.34,-30.166
18023.0,2738.28,-30.268
17711.0,2666.22,-30.37
17297.0,2666.22,-28.928
18543.0,2954.46,-27.486
19531.0,2810.34,-26.044
18834.0,2738.28,-24.601999999999997
19528.0,2738.28,-23.16
19333.0,2810.34,-23.298000000000002
19264.0,2738.28,-23.436
17954.0,2738.28,-23.574
20516.0,2594.16,-23.712
20165.0,2450.04,-23.85
17973.0,2450.04,-22.49
20187.0,2738.28,-21.13
17262.0,3098.58,-19.77
18069.0,3098.58,-18.41
17907.0,3098.58,-17.05
18032.0,2738.28,-16.372
18869.0,2810.34,-15.694
20247.0,3026.52,-15.015999999999998
17744.0,3026.52,-14.338
18308.0,3026.52,-13.66
18936.0,2954.46,-13.144
19579.0,2666.22,-12.628
19009.0,2882.4,-12.112
19480.0,2810.34,-11.595999999999998
16179.0,2882.4,-11.08
18286.0,2810.34,-11.644
17677.0,2522.1,-12.208
20881.0,2666.22,-12.772
20723.0,2882.4,-13.335999999999999
20629.0,3098.58,-13.9
19136.0,2666.22,-12.616
18700.0,2738.28,-11.332
17604.0,2666.22,-10.048
20227.0,2666.22,-8.764
15658.0,3098.58,-7.48
17605.0,2882.4,-9.092
16920.0,2954.46,-10.704
17785.0,2738.28,-12.315999999999999
18291.0,2450.04,-13.927999999999999
18371.0,2810.34,-15.54
17067.0,2666.22,-15.35
19061.0,2450.04,-15.16
19884.0,2522.1,-14.97
17312.0,2666.22,-14.78
16200.0,2738.28,-14.59
17376.0,3170.64,-13.592
19246.0,3170.64,-12.594000000000001
19022.0,3026.52,-11.595999999999998
19971.0,3170.64,-10.597999999999999
15851.0,3458.88,-9.6
18284.0,3314.76,-9.274
19375.0,3170.64,-8.948
19459.0,3026.52,-8.622
16005.0,3314.76,-8.296
18127.0,3242.7,-7.97
16536.0,3026.52,-7.769999999999999
17258.0,3170.64,-7.57
17183.0,3170.64,-7.369999999999999
16544.0,3386.82,-7.17
16573.0,3242.7,-6.97
19632.0,3170.64,-6.7700000000000005
18221.0,3314.76,-6.57
